date,close,volume,ticker
01.10.2024,117,297510364,NVDA
02.10.2024,118.85,220394466,NVDA
03.10.2024,122.85,275663030,NVDA
04.10.2024,124.92,243231748,NVDA
07.10.2024,127.72,340796426,NVDA
08.10.2024,132.89,282535038,NVDA
09.10.2024,132.65,243147858,NVDA
10.10.2024,134.81,240714041,NVDA
11.10.2024,134.8,168873663,NVDA
14.10.2024,138.07,224602526,NVDA
15.10.2024,131.6,372120889,NVDA
16.10.2024,135.72,262382205,NVDA
17.10.2024,136.93,300715593,NVDA
18.10.2024,138,172997589,NVDA
21.10.2024,143.71,261032187,NVDA
22.10.2024,143.59,224891194,NVDA
23.10.2024,139.56,281616805,NVDA
24.10.2024,140.41,170331532,NVDA
25.10.2024,141.54,199161159,NVDA
28.10.2024,140.52,167520099,NVDA
29.10.2024,141.25,151620943,NVDA
30.10.2024,139.335,173108363,NVDA
31.10.2024,132.76,263755833,NVDA
01.10.2024,226.21,59761880,AAPL
02.10.2024,226.78,31929459,AAPL
03.10.2024,225.67,32633355,AAPL
04.10.2024,226.8,35647254,AAPL
07.10.2024,221.69,37595470,AAPL
08.10.2024,225.77,30387437,AAPL
09.10.2024,229.54,31586075,AAPL
10.10.2024,229.04,27135650,AAPL
11.10.2024,227.55,30412936,AAPL
14.10.2024,231.3,34386471,AAPL
15.10.2024,233.85,60799239,AAPL
16.10.2024,231.78,33354125,AAPL
17.10.2024,232.15,29019084,AAPL
18.10.2024,235,43643976,AAPL
21.10.2024,236.48,34128130,AAPL
22.10.2024,235.86,35412947,AAPL
23.10.2024,230.76,51447561,AAPL
24.10.2024,230.57,28895111,AAPL
25.10.2024,231.41,36791251,AAPL
28.10.2024,233.4,32964281,AAPL
29.10.2024,233.67,31895656,AAPL
30.10.2024,230.1,44279666,AAPL
31.10.2024,225.91,60034650,AAPL
01.10.2024,420.69,18195547,MSFT
02.10.2024,417.13,16014496,MSFT
03.10.2024,416.54,13031361,MSFT
04.10.2024,416.06,17319719,MSFT
07.10.2024,409.54,19304152,MSFT
08.10.2024,414.71,18121969,MSFT
09.10.2024,417.46,14448774,MSFT
10.10.2024,415.84,13319522,MSFT
11.10.2024,416.32,13455365,MSFT
14.10.2024,419.14,16020864,MSFT
15.10.2024,418.74,17712232,MSFT
16.10.2024,416.12,14879191,MSFT
17.10.2024,416.72,13334766,MSFT
18.10.2024,418.16,16494649,MSFT
21.10.2024,418.78,12621668,MSFT
22.10.2024,427.51,24276062,MSFT
23.10.2024,424.6,17894627,MSFT
24.10.2024,424.73,12832122,MSFT
25.10.2024,428.15,15749168,MSFT
28.10.2024,426.59,13235584,MSFT
29.10.2024,431.95,16555708,MSFT
30.10.2024,432.53,28858471,MSFT
31.10.2024,406.35,52514317,MSFT
01.10.2024,168.42,17105803,GOOG
02.10.2024,167.31,12210966,GOOG
03.10.2024,167.21,10437142,GOOG
04.10.2024,168.56,11246232,GOOG
07.10.2024,164.39,13153316,GOOG
08.10.2024,165.7,10852396,GOOG
09.10.2024,163.06,19444082,GOOG
10.10.2024,163.18,12519643,GOOG
11.10.2024,164.52,10574059,GOOG
14.10.2024,166.35,9870507,GOOG
15.10.2024,166.9,13855275,GOOG
16.10.2024,166.74,9443195,GOOG
17.10.2024,164.51,14757427,GOOG
18.10.2024,165.05,12659494,GOOG
21.10.2024,165.8,10239727,GOOG
22.10.2024,166.82,11446914,GOOG
23.10.2024,164.48,12051512,GOOG
24.10.2024,164.53,12415049,GOOG
25.10.2024,166.99,13092938,GOOG
28.10.2024,168.34,19840509,GOOG
29.10.2024,171.14,28676682,GOOG
30.10.2024,176.14,49087448,GOOG
31.10.2024,172.69,31450456,GOOG
01.10.2024,166.99,27453077,GOOGL
02.10.2024,165.86,17234517,GOOGL
03.10.2024,165.86,14496629,GOOGL
04.10.2024,167.06,18854981,GOOGL
07.10.2024,162.98,21439155,GOOGL
08.10.2024,164.38,21783929,GOOGL
09.10.2024,161.86,30687457,GOOGL
10.10.2024,162.08,13679476,GOOGL
11.10.2024,163.24,14824863,GOOGL
14.10.2024,164.96,15096377,GOOGL
15.10.2024,165.46,19207901,GOOGL
16.10.2024,165.16,15810305,GOOGL
17.10.2024,162.93,20777093,GOOGL
18.10.2024,163.42,19279329,GOOGL
21.10.2024,164.07,19026369,GOOGL
22.10.2024,165.14,15675360,GOOGL
23.10.2024,162.78,16737190,GOOGL
24.10.2024,162.72,21705233,GOOGL
25.10.2024,165.27,17746719,GOOGL
28.10.2024,166.72,30813012,GOOGL
29.10.2024,169.68,41819772,GOOGL
30.10.2024,174.46,67969475,GOOGL
31.10.2024,171.11,43105819,GOOGL
01.10.2024,576.47,15153060,META
02.10.2024,572.81,6374508,META
03.10.2024,582.77,11372699,META
04.10.2024,595.94,14084571,META
07.10.2024,584.78,11797893,META
08.10.2024,592.89,7644223,META
09.10.2024,590.51,9440379,META
10.10.2024,583.83,7597988,META
11.10.2024,589.95,8444719,META
14.10.2024,590.42,7806114,META
15.10.2024,586.27,9365211,META
16.10.2024,576.79,10329014,META
17.10.2024,576.93,8476452,META
18.10.2024,576.47,7585395,META
21.10.2024,575.16,8111555,META
22.10.2024,582.01,7816817,META
23.10.2024,563.69,13985986,META
24.10.2024,567.78,6999863,META
25.10.2024,573.25,11027861,META
28.10.2024,578.16,9888525,META
29.10.2024,593.28,12206890,META
30.10.2024,591.8,26379352,META
31.10.2024,567.58,26329908,META
01.10.2024,167.47,23110799,AVGO
02.10.2024,170.66,13799713,AVGO
03.10.2024,171.89,12643552,AVGO
04.10.2024,176.64,17662340,AVGO
07.10.2024,175.08,14644050,AVGO
08.10.2024,180.73,19933802,AVGO
09.10.2024,185.95,24748976,AVGO
10.10.2024,185.69,15385938,AVGO
11.10.2024,181.48,22499027,AVGO
14.10.2024,182.31,16862752,AVGO
15.10.2024,175.98,27202784,AVGO
16.10.2024,176.82,14519544,AVGO
17.10.2024,181.53,24950658,AVGO
18.10.2024,179.89,17098091,AVGO
21.10.2024,179.99,12953518,AVGO
22.10.2024,179.38,11726972,AVGO
23.10.2024,173.51,18434988,AVGO
24.10.2024,171.35,19379114,AVGO
25.10.2024,173,16574396,AVGO
28.10.2024,172.02,12599889,AVGO
29.10.2024,179.24,22928063,AVGO
30.10.2024,176.64,16489532,AVGO
31.10.2024,169.77,24416578,AVGO
01.10.2024,167.16,7350515,ORCL
02.10.2024,167.71,6945956,ORCL
03.10.2024,166.86,4653778,ORCL
04.10.2024,170.86,6324496,ORCL
07.10.2024,169.97,6586477,ORCL
08.10.2024,174.37,7746562,ORCL
